show_id,type,title,director,cast,country,date_added,release year,rating,duration,listed_in,description
s0001,TV Show,Sample Title 1,,"Actor P, Actor O, Actor I, Actor p",India,"March 26, 2022",,R,1 Seasons,Comedy,Sample Title 1 is a heartfelt tale about mystery.
s0002,,Sample Title 2,Director W,"Actor O, Actor ], Actor f, Actor R, Actor t",,"July 31, 2013",,R,6 Seasons,"Action, Romance",Sample Title 2 is a surprising journey about friendship.
s0003,Movie,Sample Title 3,Director \,"Actor g, Actor Q, Actor t, Actor C",Japan,"January 10, 2022",1935.0,R,70 min,"Thriller, Crime, Fantasy",Sample Title 3 is a surprising journey about mystery.
s0004,Movie,Sample Title 4,Director V,"Actor r, Actor S, Actor F",Canada,"April 07, 2012",1968.0,,118 min,"Horror, Action, Animation",Sample Title 4 is a funny tale about adventure.
s0005,Movie,Sample Title 5,Director U,"Actor g, Actor i",United Kingdom,"December 24, 2021",2013.0,PG-13,,"Documentary, Thriller",Sample Title 5 is a moving tale about adventure.
s0006,Movie,Sample Title 6,Director B,"Actor u, Actor C, Actor t",France,"December 31, 2018",1954.0,TV-14,87 min,"Animation, Horror, Romance",Sample Title 6 is a moving exploration about courage.
,TV Show,Sample Title 7,Director E,,South Korea,"November 23, 2015",2015.0,R,,"Romance, Action",Sample Title 7 is a dramatic exploration about friendship.
s0008,TV Show,Sample Title 8,Director E,"Actor s, Actor l, Actor \",Brazil,"June 05, 2011",1969.0,R,8 Seasons,"Thriller, Sci-Fi, Drama",Sample Title 8 is a moving story about adventure.
s0009,TV Show,Sample Title 9,Director Y,"Actor H, Actor S, Actor \, Actor K",Japan,"January 27, 2010",2012.0,,3 Seasons,"Comedy, Crime, Thriller",
s0010,,Sample Title 10,Director Y,"Actor g, Actor U",Japan,"June 09, 2010",,G,172 min,"Romance, Drama",Sample Title 10 is a heartfelt story about friendship.
,TV Show,Sample Title 11,,"Actor I, Actor k, Actor _",South Korea,"September 14, 2013",1953.0,R,4 Seasons,"Animation, Romance, Thriller",Sample Title 11 is a thrilling journey about courage.
